0.0001	0.990098   0.564207   0.83754   0.62305 
0.001	0.990098   0.564207   0.83754   0.62305
0.005	0.990879   0.56484   0.831067   0.623673 	
0.01	0.984104   0.581834   0.813447   0.623739
0.0175 	0.922006   0.565183   0.758298   0.591503 	 		 
0.025	0.82964   0.512677   0.676814   0.545508
0.03	0.748722   0.457161   0.61187   0.490628
0.035	0.653531   0.404371   0.544295   0.436273 
0.04	0.548861   0.339567   0.477662   0.352495
0.045	0.429763   0.290544   0.384037   0.245552
0.05	0.0923905   0.0659928   0.0996465   0.0619214 
0.06	-0.0620532   -0.0475513   -0.0601365   0.000897254 
0.07	-0.0275423   -0.0107296   -0.0301285   0.0125998 

	
