0.0001	-0.808085   -0.809363   -0.846027   -0.797921
0.001	-0.808085   -0.809363   -0.846027   -0.797921
0.0025	-0.799242   -0.800506   -0.836768   -0.789189
0.003	-0.788609   -0.789857   -0.825637   -0.77869
0.0035  0.244144   -0.803564   -0.839965   -0.792204 
0.005	0.291466   -0.722676   -0.761821   0.271758
0.0075	0.340111   -0.547653   -0.650304   0.312895 	
0.01	0.264014   0.294888   -0.601666   0.144633	
0.015 	0.155459   0.16394   -0.493729   0.0808075 	
0.02	0.0535869   0.0450207   -0.220727   -0.0198052  
0.025	-0.00735869   -0.0184562   -0.0194443   0.000656527
0.035	0.0321404   -0.00668282   0.0361698   0.00636831
0.05	0.00618807   -0.017638   0.00805203   0.0275249

	
